epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9723,2.4171,3.97643,1.11375,0.00801,0.73932,0.00633,0.00149,2.2697,3.80705,0.94854,0.000533333,0.000533333,0.000533333
2,30.6087,2.16352,3.00553,1.01034,0.00755,0.69658,0.01915,0.00331,1.74112,3.76181,0.9527,0.00118515,0.00118515,0.00118515
3,45.2524,2.24202,2.12546,1.04163,0.00899,0.81624,0.02358,0.00574,1.83128,3.70866,1.0323,0.00182047,0.00182047,0.00182047
4,59.7112,2.13276,1.91915,0.9773,0.01064,0.9359,0.02587,0.00742,2.08111,3.6192,1.09267,0.00192575,0.00192575,0.00192575
5,74.5453,1.91107,1.72178,0.93479,0.0139,0.94017,0.01314,0.0063,1.70758,3.74051,0.9456,0.001901,0.001901,0.001901
6,89.5147,1.74868,1.48256,0.90738,0.01496,0.85897,0.01281,0.00611,1.80357,3.76931,0.94054,0.00187625,0.00187625,0.00187625
7,104.221,1.71655,1.39887,0.91949,0.00496,0.2906,0.00147,0.0005,2.55281,4.70168,1.29382,0.0018515,0.0018515,0.0018515
8,118.572,1.74348,1.34145,0.90616,0.0029,0.19658,0.00066,0.00024,2.61155,5.02359,1.37106,0.00182675,0.00182675,0.00182675
9,133.009,1.6197,1.31053,0.89423,0.01012,0.83761,0.01016,0.00505,1.81974,3.66195,0.98427,0.001802,0.001802,0.001802
10,147.377,1.63272,1.37325,0.88052,0.00917,0.75641,0.0082,0.00382,1.82821,3.73291,0.98136,0.00177725,0.00177725,0.00177725
11,162.376,1.5777,1.20154,0.87503,0.01215,0.87607,0.01215,0.00618,1.65377,3.48418,0.91053,0.0017525,0.0017525,0.0017525
12,178.46,1.59065,1.26885,0.90196,0.01171,0.90171,0.02575,0.0151,1.52504,3.33755,0.88142,0.00172775,0.00172775,0.00172775
13,192.95,1.47001,1.17892,0.88989,0.01031,0.89316,0.08098,0.04963,1.4762,3.20064,0.88175,0.001703,0.001703,0.001703
14,207.689,1.45289,1.12628,0.89013,0.00996,0.91453,0.09411,0.0575,1.46621,3.17318,0.8785,0.00167825,0.00167825,0.00167825
15,222.339,1.38892,1.08871,0.85965,0.01128,0.80769,0.20684,0.12239,1.43364,3.05219,0.86792,0.0016535,0.0016535,0.0016535
16,237.37,1.42485,1.12034,0.86217,0.92852,0.05551,0.36475,0.19981,1.42345,2.79921,0.86825,0.00162875,0.00162875,0.00162875
17,252.832,1.26035,1.05206,0.85824,0.91667,0.4701,0.84215,0.48651,1.38095,1.99376,0.86515,0.001604,0.001604,0.001604
18,268.25,1.36495,1.03845,0.87658,0.85747,0.67094,0.82835,0.56353,1.22996,1.87378,0.8337,0.00157925,0.00157925,0.00157925
19,284.084,1.28905,1.02304,0.87388,0.8056,0.70838,0.81848,0.56484,1.16402,1.76236,0.82545,0.0015545,0.0015545,0.0015545
20,299.817,1.25529,1.01562,0.86502,0.72261,0.72222,0.80119,0.51682,1.32229,1.68424,0.85232,0.00152975,0.00152975,0.00152975
21,315.451,1.35169,0.9886,0.85086,0.64523,0.81197,0.75444,0.4653,1.34254,1.51986,0.84884,0.001505,0.001505,0.001505
22,331.037,1.25442,0.97317,0.85581,0.6785,0.78464,0.7817,0.51439,1.2363,1.40952,0.8314,0.00148025,0.00148025,0.00148025
23,345.805,1.33513,1.0012,0.86371,0.73626,0.81197,0.8502,0.55722,1.25228,1.27765,0.83664,0.0014555,0.0014555,0.0014555
24,361.527,1.23779,0.99986,0.83795,0.83188,0.81197,0.90108,0.57875,1.30173,1.10215,0.85083,0.00143075,0.00143075,0.00143075
25,376.69,1.18148,0.99238,0.83614,0.87226,0.87547,0.9299,0.65657,1.16761,1.02546,0.82478,0.001406,0.001406,0.001406
26,392.035,1.19016,0.93048,0.84479,0.87147,0.88462,0.9244,0.6741,1.04266,1.01475,0.80904,0.00138125,0.00138125,0.00138125
27,407.072,1.17208,0.90299,0.84236,0.875,0.88889,0.9256,0.68059,1.00236,0.97051,0.80524,0.0013565,0.0013565,0.0013565
28,422.193,1.14381,0.90291,0.83807,0.8653,0.91453,0.93358,0.654,1.13987,0.91881,0.82199,0.00133175,0.00133175,0.00133175
29,437.654,1.0698,0.87477,0.83939,0.85988,0.9188,0.93147,0.67397,1.04346,0.93013,0.80905,0.001307,0.001307,0.001307
30,453.16,1.15753,0.8697,0.84435,0.8557,0.91229,0.93654,0.6685,1.05712,0.90631,0.80856,0.00128225,0.00128225,0.00128225
31,468.333,1.05239,0.86182,0.84156,0.86527,0.92308,0.94524,0.70772,0.98431,0.85143,0.80539,0.0012575,0.0012575,0.0012575
32,483.864,1.16253,0.87307,0.84048,0.86809,0.93162,0.95364,0.72239,0.94629,0.83772,0.8011,0.00123275,0.00123275,0.00123275
33,499.295,1.13336,0.85499,0.82761,0.87488,0.92637,0.95187,0.7049,0.96015,0.81693,0.80341,0.001208,0.001208,0.001208
34,514.617,1.09721,0.88508,0.84895,0.88279,0.9359,0.9475,0.71357,0.97197,0.83934,0.80568,0.00118325,0.00118325,0.00118325
35,530.742,1.11366,0.8486,0.82644,0.89216,0.91925,0.94694,0.69762,1.01955,0.84537,0.80728,0.0011585,0.0011585,0.0011585
36,546.375,1.04659,0.86514,0.82942,0.89123,0.91042,0.94453,0.71489,0.95291,0.82567,0.80104,0.00113375,0.00113375,0.00113375
37,561.584,1.18236,0.83656,0.84363,0.86045,0.94017,0.94376,0.6242,1.15729,0.81023,0.81478,0.001109,0.001109,0.001109
38,577.493,1.15824,0.83646,0.8184,0.88806,0.90598,0.94749,0.69033,0.9985,0.76784,0.80192,0.00108425,0.00108425,0.00108425
39,592.903,1.31239,0.89561,0.86769,0.88029,0.9359,0.94712,0.72024,0.96178,0.75961,0.80024,0.0010595,0.0010595,0.0010595
40,608.398,1.09249,0.82214,0.83765,0.89029,0.9359,0.94961,0.7032,1.02882,0.78166,0.80773,0.00103475,0.00103475,0.00103475
41,624.847,1.17181,0.83214,0.83553,0.85621,0.94444,0.94762,0.6503,1.08346,0.83366,0.80781,0.00101,0.00101,0.00101
42,640.032,1.1462,0.82865,0.81576,0.86536,0.90644,0.94028,0.57907,1.24943,0.8829,0.82085,0.00098525,0.00098525,0.00098525
43,655.718,1.10934,0.79994,0.81748,0.84424,0.94444,0.94448,0.60658,1.16724,0.85117,0.81727,0.0009605,0.0009605,0.0009605
44,671.031,1.05901,0.80698,0.84101,0.87238,0.93481,0.95796,0.70556,0.91918,0.78534,0.79539,0.00093575,0.00093575,0.00093575
45,686.306,1.11477,0.84814,0.82377,0.9073,0.92735,0.95377,0.71337,0.91072,0.77096,0.79318,0.000911,0.000911,0.000911
46,701.72,1.04223,0.79494,0.81264,0.90935,0.94313,0.95624,0.72097,0.8891,0.74901,0.79272,0.00088625,0.00088625,0.00088625
47,717.93,0.99281,0.79428,0.81934,0.89613,0.94872,0.95942,0.72711,0.87027,0.72838,0.79238,0.0008615,0.0008615,0.0008615
48,735.887,1.01922,0.75219,0.81623,0.89306,0.94872,0.95539,0.73109,0.85816,0.71468,0.79353,0.00083675,0.00083675,0.00083675
49,753.02,1.02087,0.77915,0.81935,0.89094,0.95726,0.96163,0.75534,0.83331,0.68698,0.79176,0.000812,0.000812,0.000812
50,768.947,0.9837,0.75543,0.81527,0.90745,0.94017,0.96588,0.75944,0.82891,0.68766,0.7882,0.00078725,0.00078725,0.00078725
51,784.598,0.99574,0.74817,0.81478,0.8959,0.96581,0.96792,0.75603,0.83177,0.69075,0.78684,0.0007625,0.0007625,0.0007625
52,800.791,0.89518,0.70944,0.82485,0.8854,0.96154,0.96573,0.75565,0.82452,0.68615,0.78727,0.00073775,0.00073775,0.00073775
53,818.172,1.00414,0.76214,0.80797,0.88472,0.95299,0.96535,0.7493,0.85238,0.69827,0.78936,0.000713,0.000713,0.000713
54,834.136,0.99389,0.72917,0.83513,0.88852,0.95372,0.96657,0.74569,0.8522,0.70225,0.79006,0.00068825,0.00068825,0.00068825
55,850.506,0.92653,0.70903,0.82493,0.86906,0.96433,0.9678,0.74754,0.85333,0.69705,0.7896,0.0006635,0.0006635,0.0006635
56,866.171,0.99318,0.75191,0.81059,0.86876,0.96181,0.968,0.74699,0.86855,0.69603,0.79028,0.00063875,0.00063875,0.00063875
57,882.435,0.9477,0.74847,0.82077,0.89267,0.94444,0.96905,0.7352,0.89385,0.7125,0.79291,0.000614,0.000614,0.000614
58,899.436,0.89823,0.73421,0.79404,0.88463,0.95029,0.96601,0.71733,0.93809,0.72227,0.79425,0.00058925,0.00058925,0.00058925
59,916.698,0.87922,0.70679,0.82744,0.89249,0.95785,0.96998,0.75334,0.84194,0.69408,0.78807,0.0005645,0.0005645,0.0005645
60,934.228,0.90586,0.69389,0.8127,0.90915,0.94089,0.97196,0.77105,0.77529,0.66837,0.78504,0.00053975,0.00053975,0.00053975
61,951.698,0.84111,0.67858,0.82209,0.89585,0.9557,0.97152,0.73221,0.88089,0.68257,0.78864,0.000515,0.000515,0.000515
62,968.535,0.88292,0.66862,0.82341,0.90138,0.93742,0.96469,0.71124,0.95637,0.69774,0.79301,0.00049025,0.00049025,0.00049025
